nom1;nom2;nom3;nom4;code_postal;longitude;latitude
ozan;OZAN;ozan;Ozan;1190;4.91667;46.3833
cormoranche-sur-saone;CORMORANCHE-SUR-SAONE;cormoranche sur saone;Cormoranche-sur-Saône;1290;4.83333;46.2333
plagne-01;PLAGNE;plagne;Plagne;1130;5.73333;46.1833
tossiat;TOSSIAT;tossiat;Tossiat;1250;5.31667;46.1333
pouillat;POUILLAT;pouillat;Pouillat;1250;5.43333;46.3333
torcieu;TORCIEU;torcieu;Torcieu;1230;5.4;45.9167
replonges;REPLONGES;replonges;Replonges;1620;4.88333;46.3
corcelles;CORCELLES;corcelles;Corcelles;1110;5.58333;46.0333
peron;PERON;peron;Péron;1630;5.93333;46.2
relevant;RELEVANT;relevant;Relevant;1990;4.95;46.0833
chaveyriat;CHAVEYRIAT;chaveyriat;Chaveyriat;1660;5.06667;46.1833
vaux-en-bugey;VAUX-EN-BUGEY;vaux en bugey;Vaux-en-Bugey;1150;5.35;45.9167
maillat;MAILLAT;maillat;Maillat;1430;5.55;46.1333
faramans-01;FARAMANS;faramans;Faramans;1800;5.11667;45.9
beon-01;BEON;beon;Béon;1350;5.75;45.8333
saint-bernard-01;SAINT-BERNARD;saint bernard;Saint-Bernard;1600;4.73723;45.945
rossillon;ROSSILLON;rossillon;Rossillon;1510;5.6;45.8333
pont-d-ain;PONT-D'AIN;pont d ain;Pont-d'Ain;1160;5.33333;46.05
nantua;NANTUA;nantua;Nantua;1460;5.61667;46.15
chavannes-sur-reyssouze;CHAVANNES-SUR-REYSSOUZE;chavannes sur reyssouze;Chavannes-sur-Reyssouze;1190;5;46.4333
neuville-les-dames;NEUVILLE-LES-DAMES;neuville les dames;Neuville-les-Dames;1400;5;46.1667
flaxieu;FLAXIEU;flaxieu;Flaxieu;1350;5.73333;45.8167
hotonnes;HOTONNES;hotonnes;Hotonnes;1260;5.68333;46
saint-sorlin-en-bugey;SAINT-SORLIN-EN-BUGEY;saint sorlin en bugey;Saint-Sorlin-en-Bugey;1150;5.36667;45.8833
songieu;SONGIEU;songieu;Songieu;1260;5.7;45.9667
virieu-le-petit;VIRIEU-LE-PETIT;virieu le petit;Virieu-le-Petit;1260;5.71667;45.9
saint-denis-en-bugey;SAINT-DENIS-EN-BUGEY;saint denis en bugey;Saint-Denis-en-Bugey;1500;5.33333;45.95
charnoz-sur-ain;CHARNOZ-SUR-AIN;charnoz sur ain;Charnoz-sur-Ain;1800;5.21667;45.8667
chazey-sur-ain;CHAZEY-SUR-AIN;chazey sur ain;Chazey-sur-Ain;1150;5.25;45.9
marchamp;MARCHAMP;marchamp;Marchamp;1680;5.55;45.7833
culoz;CULOZ;culoz;Culoz;1350;5.78333;45.85
mantenay-montlin;MANTENAY-MONTLIN;mantenay montlin;Mantenay-Montlin;1560;5.08333;46.4167
marboz;MARBOZ;marboz;Marboz;1851;5.25;46.3333
foissiat;FOISSIAT;foissiat;Foissiat;1340;5.18333;46.3667
treffort-cuisiat;TREFFORT-CUISIAT;treffort cuisiat;Treffort-Cuisiat;1370;5.36834;46.2714
izieu;IZIEU;izieu;Izieu;1300;5.63333;45.65
saint-etienne-du-bois-01;SAINT-ETIENNE-DU-BOIS;saint etienne du bois;Saint-Étienne-du-Bois;1370;5.28333;46.2833
hauteville-lompnes;HAUTEVILLE-LOMPNES;hauteville lompnes;Hauteville-Lompnes;1110;5.6;45.9667
saint-trivier-sur-moignans;SAINT-TRIVIER-SUR-MOIGNANS;saint trivier sur moignans;Saint-Trivier-sur-Moignans;1990;4.9;46.0667
